Test Row,Train Row,Calculator ID
2,2541,2
2,7635,2
4,1451,2
4,3773,2
4,5728,2
4,6090,2
4,7677,2
5,6266,2
6,5351,2
6,7687,2
7,5800,2
7,8402,2
11,3,2
11,2411,2
12,354,2
12,2130,2
12,8012,2
13,66,2
13,455,2
13,6305,2
15,93,2
17,8699,2
18,8459,2
20,8674,2
21,140,3
22,141,3
23,151,3
24,138,3
25,145,3
26,142,3
27,153,3
28,150,3
31,166,3
32,212,3
33,208,3
35,5486,3
35,6359,3
35,9195,3
37,196,3
43,2780,4
50,4254,4
51,5439,4
53,4229,4
58,7734,4
64,7682,5
65,2011,5
65,6764,5
78,5862,5
78,6182,5
78,6487,5
81,2554,6
81,8331,6
84,7294,6
84,8667,6
86,2550,6
90,65,6
90,578,6
92,3648,6
93,7911,6
97,2548,6
97,3637,6
99,5015,6
99,7796,6
100,7950,6
104,9326,7
104,9398,7
104,9465,7
104,9530,7
108,9058,7
108,9440,7
108,9498,7
112,2564,7
112,9074,7
112,9134,7
112,9410,7
113,2565,7
115,2569,7
116,2577,7
118,2582,7
119,2575,7
142,3204,9
143,594,9
143,3185,9
144,3188,9
146,212,9
147,3191,9
149,3233,9
151,3353,9
152,525,9
152,3221,9
152,5563,9
153,238,9
153,3227,9
154,3374,9
157,6383,9
157,9146,9
159,3235,9
160,3237,9
162,2100,10
163,7721,10
169,7646,10
173,7658,10
174,7758,10
176,3689,10
179,7355,10
180,2248,10
180,7692,10
225,4514,16
232,6886,16
254,930,17
255,144,17
259,5938,17
259,9220,17
263,4158,18
269,2050,18
276,3167,18
276,6687,18
277,4166,18
284,4384,19
285,3254,19
285,4400,19
289,4339,19
292,4428,19
294,2654,19
294,3294,19
294,5710,19
294,9070,19
294,9147,19
294,9457,19
296,4369,19
297,2139,19
297,3731,19
299,4393,19
303,6020,20
308,1419,20
313,6837,20
319,6028,20
321,4525,22
321,5615,22
322,4567,22
323,4585,22
324,4613,22
325,4629,22
326,4513,22
326,7738,22
327,4523,22
328,4526,22
329,4630,22
331,4717,22
332,4543,22
333,4704,22
333,7337,22
334,4534,22
335,4676,22
336,3544,22
336,7638,22
338,4527,22
340,4589,22
342,5254,23
342,6033,23
342,9441,23
342,9450,23
342,9506,23
343,2713,23
343,6395,23
343,9502,23
345,9140,23
345,9403,23
356,6384,25
356,6649,25
356,6853,25
356,9356,25
363,2794,25
366,5383,26
366,5660,26
367,108,26
367,3976,26
367,4560,26
367,5389,26
367,5669,26
367,6036,26
367,9286,26
368,5973,26
368,6463,26
368,9017,26
368,9121,26
369,3327,26
369,5392,26
369,5668,26
369,6500,26
369,8936,26
370,5698,26
371,6888,26
372,5394,26
373,5396,26
374,5399,26
378,3025,26
378,6380,26
378,9112,26
379,5409,26
381,5410,26
382,5411,26
383,5416,26
384,9030,26
384,9238,26
385,5419,26
389,9080,27
397,1694,27
399,5872,27
399,6897,27
400,4394,27
401,2926,27
401,5940,27
403,1010,27
407,5650,30
407,6625,30
413,5647,30
413,5991,30
413,6412,30
413,9161,30
414,2422,30
416,8826,30
418,5954,30
418,6460,30
418,6629,30
421,7950,30
423,5939,30
423,6901,30
424,5963,30
424,6409,30
432,212,32
435,154,32
442,6372,32
442,9104,32
442,9471,32
447,4255,32
452,6018,33
455,4454,33
464,4441,33
465,6020,33
466,4473,33
466,6025,33
467,4002,33
468,5263,38
468,5946,38
468,8810,38
471,1239,38
471,6038,38
472,2082,38
472,6738,38
475,3228,38
475,6046,38
475,7488,38
476,6057,38
477,5106,38
477,6062,38
478,5414,38
479,2255,38
479,5982,38
480,2502,38
480,6064,38
480,8102,38
481,2196,38
481,3625,38
483,6053,38
483,7407,38
485,5760,38
485,7297,38
486,2118,38
488,5662,39
488,8904,39
488,9212,39
489,8833,39
489,9192,39
490,5802,39
490,6338,39
490,9087,39
490,9374,39
491,8996,39
492,5748,39
492,9059,39
497,5487,39
497,5810,39
498,6322,39
498,6607,39
498,9299,39
499,9012,39
499,9273,39
501,407,39
501,6311,39
505,2615,39
505,3276,39
505,6316,39
505,8873,39
505,9245,39
505,9444,39
507,5622,39
507,5699,39
507,6355,39
507,8934,39
507,9358,39
508,6322,45
508,6607,45
508,9299,45
510,5506,45
510,5823,45
510,6341,45
510,9242,45
512,6596,45
514,6554,45
515,1548,45
515,6555,45
516,5647,45
516,5991,45
516,6412,45
516,9161,45
517,6584,45
518,6558,45
521,6593,45
522,537,45
522,6564,45
523,6565,45
524,6583,45
526,1209,45
526,6592,45
527,2588,45
527,6587,45
527,6820,45
531,3633,40
531,6228,40
531,8662,40
531,8854,40
531,9427,40
531,9553,40
532,9255,40
532,9520,40
539,7685,44
556,6372,46
556,9104,46
556,9471,46
559,3577,46
570,6747,48
571,6765,48
572,1902,48
577,8336,48
580,1101,48
584,2747,48
586,1984,48
586,6773,48
588,3173,48
594,6888,51
599,6953,51
601,6892,51
602,6889,51
603,6786,51
604,6807,51
606,6793,51
607,8881,51
607,9218,51
608,6787,51
692,7556,60
701,2499,60
704,4070,60
704,7506,60
708,2383,60
710,1641,62
717,71,62
719,7804,62
721,816,62
721,2369,62
723,7835,62
724,2362,62
724,3747,62
726,2183,62
726,3765,62
726,4778,62
728,5012,62
730,441,63
730,5500,63
